C:\Python27\python.exe C:/Users/Elena/PycharmProjects/TVSpeed/data_processing.py
Designated Survivor , average , 128.2085744
The Romeo Section , 1 , 83.181818183
The Romeo Section , 2 , 93.988636356
The Romeo Section , average , 88.5852272695
Bitten , 1 , 91.83343468
Bitten , 3 , 82.720466291
Bitten , 2 , 75.701170602
Bitten , average , 83.418357191
Homeland , 1 , 85.5278091264
Homeland , 3 , 78.3743437736
Homeland , 2 , 75.5008264418
Homeland , 5 , 73.523520395
Homeland , 4 , 92.9426876414
Homeland , 6 , 93.6878760233
Homeland , average , 83.2595105669
Longmire , 1 , 101.055151508
Longmire , 2 , 103.975863286
Longmire , average , 102.515507397
Bates Motel , 1 , 79.8605236378
Bates Motel , 3 , 81.343861677
Bates Motel , 2 , 85.802496737
Bates Motel , 5 , 73.53488372
Bates Motel , 4 , 82.024762822
Bates Motel , average , 80.5133057188
The Returned , 1 , 57.773598793
The Returned , average , 57.773598793
Criminal Minds , 11 , 111.290681044
Criminal Minds , 12 , 118.727922464
Criminal Minds , 1 , 118.563372086
Criminal Minds , 3 , 116.533834578
Criminal Minds , 2 , 113.819491912
Criminal Minds , 5 , 117.511904773
Criminal Minds , 4 , 118.684567996
Criminal Minds , 6 , 117.081145934
Criminal Minds , average , 116.526615098
Stitchers , 1 , 108.61154737
Stitchers , 2 , 123.625269629
Stitchers , average , 116.118408499
Justified , 1 , 126.832628249
Justified , 3 , 134.17521514
Justified , 2 , 118.943977931
Justified , 4 , 136.415901778
Justified , average , 129.091930775
Mad Dogs , 1 , 74.906428572
Mad Dogs , average , 74.906428572
The Magicians , 1 , 89.15870518
The Magicians , 2 , 89.897348892
The Magicians , average , 89.528027036
Preacher , 1 , 65.487002936
Preacher , average , 65.487002936
Power , 1 , 92.7033520517
Power , 3 , 103.201360776
Power , 2 , 100.80449706
Power , average , 98.9030699626
Nashville , 1 , 107.901515163
Nashville , average , 107.901515163
Revenge , 1 , 100.924242415
Revenge , 3 , 110.959428058
Revenge , 2 , 106.971775898
Revenge , 4 , 111.58216119
Revenge , average , 107.609401891
Dead of Summer , 1 , 73.005863786
Dead of Summer , average , 73.005863786
Game of Thrones , 1 , 84.6188069867
Game of Thrones , 3 , 79.3004036912
Game of Thrones , 2 , 88.9759578587
Game of Thrones , 5 , 70.873796915
Game of Thrones , 4 , 75.4079407433
Game of Thrones , 6 , 65.6718762844
Game of Thrones , average , 77.4747970799
Murdoch Mysteries , 1 , 110.289583323
Murdoch Mysteries , 3 , 108.998397436
Murdoch Mysteries , 2 , 113.958333334
Murdoch Mysteries , 5 , 106.870833334
Murdoch Mysteries , 4 , 110.615530291
Murdoch Mysteries , average , 110.146535544
The Killing , 1 , 96.3607783508
The Killing , 3 , 107.788671603
The Killing , 2 , 95.671987319
The Killing , average , 99.940479091
Extant , 1 , 111.491658685
Extant , 2 , 99.46330139
Extant , average , 105.477480038
Transporter: The Series , 1 , 67.444560534
Transporter: The Series , 2 , 64.9721516629
Transporter: The Series , average , 66.2083560984
Pure Genius , 1 , 114.599806206
Pure Genius , average , 114.599806206
Covert Affairs , 1 , 96.4700801622
Covert Affairs , 2 , 101.140671834
Covert Affairs , average , 98.8053759981
Damien , 1 , 63.523200444
Damien , average , 63.523200444
Feed the Beast , 1 , 97.018730155
Feed the Beast , average , 97.018730155
Pitch , 1 , 118.32129776
Pitch , average , 118.32129776
CSI: Cyber , 1 , 115.719235748
CSI: Cyber , 2 , 130.049129688
CSI: Cyber , average , 122.884182718
Better Call Saul , 1 , 89.6871105989
Better Call Saul , 2 , 86.066863761
Better Call Saul , average , 87.8769871799
Chicago P.D. , 1 , 97.6261606723
Chicago P.D. , 3 , 106.282178198
Chicago P.D. , 2 , 102.653600072
Chicago P.D. , 4 , 112.858238845
Chicago P.D. , average , 104.855044447
Banshee , 1 , 63.0961867389
Banshee , 3 , 59.5902547375
Banshee , 2 , 67.8806709278
Banshee , 4 , 60.7121761657
Banshee , average , 62.8198221425
Powers , 1 , 83.2939394233
Powers , 2 , 101.245129069
Powers , average , 92.269534246
The Man in the High Castle , 1 , 62.8554466956
The Man in the High Castle , 2 , 65.725169571
The Man in the High Castle , average , 64.2903081333
American Odyssey , 1 , 83.3264957285
American Odyssey , average , 83.3264957285
The Good Wife , 1 , 120.261515605
The Good Wife , 3 , 129.145255156
The Good Wife , 2 , 124.740867892
The Good Wife , 5 , 128.512593713
The Good Wife , 4 , 131.858773767
The Good Wife , 7 , 122.730167729
The Good Wife , 6 , 132.842803025
The Good Wife , average , 127.155996698
NCIS: New Orleans , 1 , 115.148259918
NCIS: New Orleans , average , 115.148259918
Ripper Street , 1 , 79.0053259814
Ripper Street , 3 , 80.34920635
Ripper Street , 2 , 83.9161378467
Ripper Street , 5 , 80.2002903
Ripper Street , 4 , 82.565567765
Ripper Street , average , 81.2073056486
Roswell , 1 , 97.6431497413
Roswell , 3 , 119.827461872
Roswell , 2 , 103.048474779
Roswell , average , 106.839695464
Orphan Black , 1 , 83.601313132
Orphan Black , 3 , 88.962803915
Orphan Black , 2 , 81.566119332
Orphan Black , average , 84.710078793
Good Behavior , 1 , 86.349324437
Good Behavior , average , 86.349324437
How to Get Away with Murder , 1 , 114.801421458
How to Get Away with Murder , 3 , 110.688617307
How to Get Away with Murder , 2 , 118.213904827
How to Get Away with Murder , average , 114.567981197
Mr. Robot , 1 , 87.1452460911
Mr. Robot , 2 , 75.6117224488
Mr. Robot , average , 81.3784842699
Da Vinci's Demons , 1 , 85.667371815
Da Vinci's Demons , 3 , 63.8180373825
Da Vinci's Demons , 2 , 75.9111408222
Da Vinci's Demons , average , 75.1321833399
Empire , 1 , 108.843332438
Empire , 3 , 110.407513522
Empire , 2 , 109.464196518
Empire , average , 109.571680826
Beyond , 1 , 80.311338898
Beyond , average , 80.311338898
American Horror Story , 1 , 94.22871287
American Horror Story , 3 , 81.432656788
American Horror Story , 2 , 90.53847403
American Horror Story , 5 , 73.9697203909
American Horror Story , 4 , 81.2307361418
American Horror Story , 6 , 84.4013199687
American Horror Story , average , 84.3002700316
Falling Water , 1 , 56.891601621
Falling Water , average , 56.891601621
Eye Candy , 1 , 85.949509292
Eye Candy , average , 85.949509292
total average , 100.393729231
2009 , 106.367163834
2003 , 140.368337664
1999 , 120.938638457
1998 , 126.578601633
2002 , 149.695676908
2008 , 110.10148207
2000 , 130.705629367
2001 , 138.185738028
2006 , 117.850077039
2007 , 107.821212542
2004 , 145.727152826
2005 , 132.783127384
2015 , 99.3776179919
2014 , 99.9028961101
2017 , 107.654061372
2016 , 100.724449352
2011 , 105.098620545
2010 , 109.280246989
2013 , 102.018701644
2012 , 106.627246788

Process finished with exit code 0
